seed,input_kichwa,referencia_es,prediccion_es
123,"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.","Eso es lo que sabemos, ayudarse, seora."
123,"Hampik, allichu kakrini?","¿Doctor, voy a estar bien?","S, qué dices?"
123,Shinallatak llakta mikuyta mikunchik.,Se come del campo.,Eso es lo que voy a hacer.
123,"Rikuychik, rikuychik, chayta chapamukukka Apoloniomi kan, payka raku runa, antawakunawan llamkan.","Vean, vean, aquel que se asoma es el gordo Apolonio, el mecánico.",Y yo sabemos que ese amigo Apolonio está en la escuela de las antawakas.
123,Kipamanmi llakikuna chayamun.,Luego viene el desastre.,Y aqu tenemos esas llamas.
123,"Shuyay, mashi.","Espere, señora.","S, seora."
123,Ama takariwaychu.,No me toques.,No sé.
123,"Alcaldesa, nini, Magdalena.","Alcaldesa, digo, Magdalena.","Alcaldesa, no, Magdalena."
123,"Don Amaru, Radio Mundialman shuk willayta karaway.","Don Amaru, una entrevista para la radio Mundial.","Don Amaru, el Radio Mundial ya está en la escuela."
123,Amazonía anti suyupi chakrakkunaka cocata tarpunajun.,"En la Amazonía, los campesinos están sembrando coca.",La anticuerpo del Amazona está en el cocata.
123,Ruku celularkunawan maypipash warkurishpa maskanakun yachakuyta chaskinkapak.,Tienen celulares viejos y se trepan donde sea para tratar de escuchar sus clases.,"En el Barrio del Pueblo, las celularas se encuentran como una violación de agua."
123,"Ari ñukaka, ñukaka","bueno, yo sí, yo, yo.","S, s."
123,"Shuyapaychik, shuyapaychik.","Un momento, un momento.","S, s."
123,Manchanay yari.,Espantoso.,No sé.
123,"Mercadoman, fútbol pukllana pampaman, ayllullaktakunaman rina kanchik.","Tenemos que ir al mercado, a la cancha de fútbol, a las comunidades.","Mercado, la ftbol y las ayllullas."
123,"Shinallami, shinallami kawsayka kan.",¡Las vueltas de la vida!,"Pero, pero eso no sé."
123,Alli pacha yachani.,Lo sé bien.,Eso es cierto.
123,"Inspector, kayka mana shina katik ushanchu.","Esto no puede seguir así, inspector.","Inspector, esto no es cierto."
123,"Ari, shuk tantanakuyta.","Sí, un grupo.","S, seora."
123,Ninantami purishka kay uyachik antata tarinkapak.,Él ha empujado duro para conseguir esta emisora.,En el Barrio del Pueblo.
123,Chay normalidadmi llaki karka.,Esa normalidad era el problema.,Esto es la normalida.
123,Chaytaka tukuylla mamallaktapash upyanatapash yali.,Más de lo que bebe toda la población del país en ese día.,Esto es una emisora de agua.
123,Chay imapa warmika imatak nishka?,¿Qué ha dicho esa zorra?,Y qué es una mujer?
123,"Alcaldesa, kikinka yachankichu, chay minas a cielo abierto imashina llamkanataka?","Alcaldesa, ¿usted sabe cómo trabajan esas minas que las llaman a cielo abierto?","Alcaldesa, qué es la minas a cielo abierto?"
123,"Shinami kan, shinapash, mana hamuktanichu, Fredy.","No te entiendo, Fredy.","Pero, pero no sé, Fredy."
123,Treinta mil millones.,Treinta mil millones.,Treinta mil millones.
123,Nimata na tarinchik.,No conseguimos nada.,No es cierto.
123,Mana mikushpa mañaykunawan.,Ayuno y oración.,No tienen nias.
123,Shuk añankullaka mana mishanchu shuk elefantetaka.,Una hormiguita no le gana a un elefante.,Eso no es una elefante.
123,Shinaka rurashun.,Entonces lo hagamos.,Eso es cierto.
123,"Utkaychik, ñukanchikpa willaykunata kichukunka.","¡Y lo más pronto posible, que nos está quitando anuncios!","S, s tienen trabajo en las escuelas."
123,"Sapikunaka Méxicomanta cartelkuna kan, Colombiamantakunapash.","La raíz son los cárteles de México, de Colombia.",Esos son carteles de Méxicana y de Colombia.
123,"Shuk wata chinkarishka, shuk watapash.","Un año perdido, otro más.",Eso es lo que voy a hacer.
123,Jaboneropak ayllullaktapi,En el Barrio del Jabonero,En la ciudad de la Jabonero
123,Wañushkakunapak llaktaman kachakman karka.,Me mandaban pál barrio de los acostados.,Pero esas palabras no tienen ninguna solución.
123,"Hala hala Amaru, shinaka, waynayak wasikuna katinkacha?","Pero ¿seguirán las zonas de tolerancia, como les llaman?",Y qué es Amaru?
123,"Pay, mashi, pay, pero uyaway, ñukata uyaway.","Gracias, amigo, gracias, pero escúcheme.","No, seora, no no, yo no."
123,Paypa riksik médico kay hampik mashipaman tapunkapak rirkami.,Me contó que iba a consultarle a un médico de su confianza.,Es un médico en el Barrio del Pueblo.
123,"Shinapash ñami piñarishkakuna kay enemigo runakunata charin, empresariokunata, gobiernomanta runakunata.","Ya tiene muchos enemigos entre los empresarios, entre gente del gobierno.","Pero yo piamos a los enemigos, empresario, gobierno."
123,Kikin manarak vacunarinachu karkanki.,Usted no consta en la lista prioritaria de personal a vacunarse.,Eso no es vacunado.
123,Payka mana ishkay siki mashichu.,"Un hombre serio, a carta cabal.","No sé eso, seora."
123,"Willachiy, ama llulla shimikunawan sakirichun.",Diles que no se dejen engañar por palabras bonitas.,"S, no hay nias en el mundo."
123,"Uyachik antakunaka anunciokunata yallichishpami kawsan, nachu?","Un medio de comunicación vive de los anuncios, ¿no es cierto?",Cómo vamos a llamar las anuncios?
123,Kari warmi tukuyka kimirinlla ninmi.,Y la mariconada se pega.,Y esa mujer tiene que llevarla.
123,Alli pacha!,Qué bueno.,Gracias!
123,Chayshu kalluka llullankapak.,Y otra para no cumplir.,Eso es lo que voy a hacer.
123,"Pirkaman, tukuykuna.",Todos a la pared.,"Gracias, seoras."
123,Llaki pacha mari kanchik.,Qué desastre.,Eso es lo que voy a hacer.
123,"Shuk wasipi cebollakunata charikpika, rantika papakunata kuyta ushanchik.",Si en una casa cosechan cebollas pueden cambiarlas por papas.,Esas cebollas y las papas se encuentran.
123,Ñukapash shinami tapurini.,Lo mismo me pregunto yo.,Eso es lo que voy a hacer.
