seed,input_kichwa,referencia_es,prediccion_es
42,"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.","Eso es lo que voy a hacer, saber, digamos, seora."
42,"Hampik, allichu kakrini?","¿Doctor, voy a estar bien?","S, qué dices?"
42,Shinallatak llakta mikuyta mikunchik.,Se come del campo.,Pero también tenemos que hacer eso.
42,"Rikuychik, rikuychik, chayta chapamukukka Apoloniomi kan, payka raku runa, antawakunawan llamkan.","Vean, vean, aquel que se asoma es el gordo Apolonio, el mecánico.","Y yo sabemos que ese amigo, Apolonio, está trabajando con las antawakas."
42,Kipamanmi llakikuna chayamun.,Luego viene el desastre.,Y aqu tenemos las llamadas.
42,"Shuyay, mashi.","Espere, señora.","S, seora."
42,Ama takariwaychu.,No me toques.,No sé.
42,"Alcaldesa, nini, Magdalena.","Alcaldesa, digo, Magdalena.","Alcaldesa, no, Magdalena."
42,"Don Amaru, Radio Mundialman shuk willayta karaway.","Don Amaru, una entrevista para la radio Mundial.","Don Amaru, el radio Mundial tiene una ayuda."
42,Amazonía anti suyupi chakrakkunaka cocata tarpunajun.,"En la Amazonía, los campesinos están sembrando coca.",La anticuerpo del Amazona es una cocata.
42,Ruku celularkunawan maypipash warkurishpa maskanakun yachakuyta chaskinkapak.,Tienen celulares viejos y se trepan donde sea para tratar de escuchar sus clases.,"En el Barrio del Pueblo, las celulares se han enfocado una violencia a la gente."
42,"Ari ñukaka, ñukaka","bueno, yo sí, yo, yo.",Qué voy a hacer?
42,"Shuyapaychik, shuyapaychik.","Un momento, un momento.","S, s."
42,Manchanay yari.,Espantoso.,No sé.
42,"Mercadoman, fútbol pukllana pampaman, ayllullaktakunaman rina kanchik.","Tenemos que ir al mercado, a la cancha de fútbol, a las comunidades.","La mercado, la ftbol y las ayllullas."
42,"Shinallami, shinallami kawsayka kan.",¡Las vueltas de la vida!,"Pero, pero eso no sé."
42,Alli pacha yachani.,Lo sé bien.,Eso es cierto.
42,"Inspector, kayka mana shina katik ushanchu.","Esto no puede seguir así, inspector.","Inspector, esto no es cierto."
42,"Ari, shuk tantanakuyta.","Sí, un grupo.","S, seora."
42,Ninantami purishka kay uyachik antata tarinkapak.,Él ha empujado duro para conseguir esta emisora.,"En el Barrio del Pueblo, la gente tiene una buena escuela."
42,Chay normalidadmi llaki karka.,Esa normalidad era el problema.,Esto es la normalización.
42,Chaytaka tukuylla mamallaktapash upyanatapash yali.,Más de lo que bebe toda la población del país en ese día.,Esto es una emisora de msica.
42,Chay imapa warmika imatak nishka?,¿Qué ha dicho esa zorra?,Cómo es esta mujer?
42,"Alcaldesa, kikinka yachankichu, chay minas a cielo abierto imashina llamkanataka?","Alcaldesa, ¿usted sabe cómo trabajan esas minas que las llaman a cielo abierto?","Alcaldesa, qué dicen que ese minas a cielo abierto?"
42,"Shinami kan, shinapash, mana hamuktanichu, Fredy.","No te entiendo, Fredy.","Pero, pero no sé, Fredy."
42,Treinta mil millones.,Treinta mil millones.,Treinta mil millones.
